,symbol,best,base,worst,relative_best,relative_base,relative_worst
25,3655.T,641.1779763164304,595.3996879735771,562.8416123772976,14.509603157809275,20.613374936856385,24.95445168302699
26,3393.T,3289.1400002065475,2773.65158346214,2281.6285521307723,-172.9576763656886,-130.17855464416098,-89.34676781168235
27,7046.T,2193.4838432920405,1894.801621083345,1606.790624377088,-2.2603190345939645,11.664260089354544,25.091346182886337
28,4813.T,1143.0651295483297,909.9772963078814,583.691255918642,-31.53798959129225,-4.715454120584738,32.831846269431296
29,4056.T,241.50117067683252,177.45043435278848,140.75604423449244,78.90819470071332,84.50214547137219,87.70689570004431
30,3676.T,1990.6441297903043,1759.923538837648,1550.9765461207328,-50.1239916885599,-32.72424878111976,-16.966557022679698
31,4498.T,1128.4244854912995,1024.1208627919118,894.9166997074724,64.29036438318673,67.59111193696482,71.67985127507997
32,1973.T,2470.9733604854628,1893.4868325866469,1305.4942837741564,-29.167452194744527,1.020029660917571,31.756702364131918
33,4722.T,1706.7442275854794,1376.8023613205269,1063.3101860523518,2.9707659132757596,21.728120447951856,39.55030210049165
34,6701.T,15078.392369860143,9437.81370961765,4276.940953487754,-132.33270215500988,-45.42085839164331,34.0995230587403
35,4733.T,4584.087542173729,3266.480925923988,1939.1441594064656,13.015416657044987,38.017439735787704,63.20409564693614
36,4486.T,1325.965919023824,1067.7190491042977,823.4731479348346,-36.136131316614374,-9.622078963480257,15.45450226541739
37,4674.T,3301.7354121198728,3033.6338431034856,2755.7054550938547,-70.89727806003482,-57.020385253803596,-42.63485792411256
38,3798.T,3799.581705689447,3194.7228362311303,2474.074083746023,-25.81396376455123,-5.785524378514247,18.077017094502548
39,4708.T,2552.8628573181786,2116.6848530620473,1658.8864511821541,-75.2136484089347,-45.27692883061409,-13.856310993970771
40,9742.T,3709.032331568727,2870.2631914349154,1987.8894208839524,-153.69578191304564,-96.32443169869462,-35.97054862407335
41,3657.T,1492.0927338369665,1137.4012549295128,839.2520304533062,-56.07664579884587,-18.975026666267027,12.212130705721105
42,9746.T,4639.392322917722,3524.967648685036,2178.8186033846805,-28.337270343505438,2.4905214748261195,39.72839271411672
43,2185.T,3967.2825559958424,3065.244823908599,2266.8199611305718,-174.93295606346794,-112.42167871854463,-57.090780397129016
44,4427.T,1348.27309424359,1266.1741469733902,1147.9851952521399,-212.10025329712732,-193.09586735495142,-165.73731371577313
